ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
FSLR,Technology,0.8867,0.8406,0.0461,0.9,1.0,0.875,0.5875,0.20503177060183186,-0.048732271995371335,-0.17018781786343828,0.22470638621595973,,17.363008,2.6929166,13.03,0.16864,0.797,0.27728,0.5
NEE,Utilities,0.5469,0.5469,0.0,0.5,0.5,0.625,0.5625,0.0,0.11969919570647192,0.0787432061333202,0.28238514565270534,,27.692074,3.4746184,3.28,0.083739996,0.207,0.24934,0.5
ENPH,Technology,0.4798,0.4688,0.011,0.0,0.25,0.75,0.875,0.02748206346557913,0.3699563681003952,0.5301461561059142,0.497318174724267,,38.95349,6.054217,1.29,0.17930001,-0.103,0.11686,0.5
SEDG,Technology,0.3663,0.2906,0.0757,0.4,0.5,0.125,0.1375,0.1892904352226508,0.04206204779819411,-0.18929043522265077,0.46573706599175413,,,4.5673494,-9.63,-0.78094,0.445,-0.53646,0.5
RUN,Technology,0.3634,0.3531,0.0103,0.7,0.25,0.125,0.3375,0.035030359894685136,0.09312170711137302,0.12588552686217258,0.809106804674975,,,1.6035392,-11.33,-0.72506,0.349,-1.06502,0.5
