ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
IONQ,Technology,0.5529,0.4929,0.06,0.4143,0.4286,0.5714,0.5571,0.42526492374322705,-0.2503971824817509,0.28206525226396595,0.3445426075809308,,,6.751574,-5.84,-1.07759,2.215,0.0,0.5
RGTI,Technology,0.4225,0.3625,0.06,0.3,0.2857,0.3571,0.5071,0.5477458382458676,-0.45062529203447965,0.6807387730011023,1.1145227501181014,,,22.292213,-1.46,-1.4189999,-0.181,0.0,0.5
BBAI,Technology,0.3582,0.2982,0.06,0.4714,0.2143,0.0714,0.4357,0.3198653146397466,-0.1832884258127503,0.10181817141446192,0.6290322301539126,,,4.3285713,-1.45,-1.20338,-0.201,-2.95609,0.5
