ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
FSLR,Technology,0.9256,0.8969,0.0287,0.9,1.0,0.875,0.8125,,,,,,18.690184,2.9009795,13.04,0.16864,0.797,0.27728,0.5
ENPH,Technology,0.683,0.575,0.108,0.3,0.375,0.75,0.875,,,,,,24.636986,4.7304053,1.46,0.20305,0.078,0.12932,0.5
NEE,Utilities,0.451,0.4406,0.0104,0.2,0.375,0.625,0.5625,,,,,,26.619047,3.2230165,3.15,0.08236,0.053,0.24729,0.5
SEDG,Technology,0.378,0.2719,0.1061,0.4,0.5,0.125,0.0625,,,,,,,4.139044,-9.63,-0.78094,0.445,-0.53646,0.5
RUN,Technology,0.3559,0.3156,0.0403,0.7,0.25,0.125,0.1875,,,,,,,1.3831109,-11.33,-0.72506,0.349,-1.06502,0.5
