ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
TSM,Technology,0.7222,0.7089,0.0133,0.9143,0.7143,0.6429,0.5643,0.06643937610862413,-0.03477016305724345,0.2278408213722336,0.4819807513623555,,29.242302,1.4777191,9.74,0.34657001,0.303,0.43287,0.5
NVDA,Technology,0.627,0.6107,0.0163,0.1714,0.5714,1.0,0.7,0.08148181831648767,0.03793252320673424,0.08278707367637494,0.4029204158044972,,54.025566,46.236324,3.52,1.09417,0.556,0.52414,0.5
LRCX,Technology,0.5647,0.5429,0.0218,0.4571,0.4286,0.7143,0.5714,0.10885376655565362,0.0476998110523843,0.48064137571928245,0.7766929762478689,,32.656387,18.315008,4.54,0.62261003,0.277,0.29657,0.5
AMAT,Technology,0.5219,0.5071,0.0148,0.7714,0.3571,0.4286,0.4714,0.06177095321729627,0.004533485882789012,0.39722449116661873,0.36978579085206564,,26.098152,8.790059,8.66,0.35508,-0.035,0.24669,0.5
MU,Technology,0.5173,0.5071,0.0102,0.7714,0.7143,0.1429,0.4,0.025542839094956835,0.21963630732186612,1.0236343463566078,1.5060015062731558,,32.563324,5.1129985,7.58,0.17198999,0.46,0.22845,0.5
