ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
TSM,Technology,0.758,0.7447,0.0133,0.8286,0.6429,0.7857,0.7214,0.06643937610862413,-0.03477016305724345,0.2278408213722336,0.4819807513623555,,29.242302,1.4777191,9.74,0.34657001,0.303,0.43287,0.5
NVDA,Technology,0.6591,0.6428,0.0163,0.1714,0.5714,1.0,0.8286,0.08148181831648767,0.03793252320673424,0.08278707367637494,0.4029204158044972,,54.025566,46.236324,3.52,1.09417,0.556,0.52414,0.5
GOOGL,Communication Services,0.6243,0.6107,0.0136,0.6286,0.4286,0.7143,0.6714,0.05114824077909447,0.0912356902168272,0.37251179849992666,0.6632169503592138,,27.313242,8.628914,10.12,0.3545,0.159,0.32233003,0.5
META,Communication Services,0.6028,0.5572,0.0456,0.7714,0.7857,0.4286,0.2429,0.2280109288012104,-0.1498911503363225,-0.18843965804785845,-0.04698307810155433,,26.95533,7.9171214,22.61,0.32643002,0.262,0.30892,0.5
MSFT,Technology,0.5016,0.4857,0.0159,0.3143,0.6429,0.5714,0.4143,0.05883006662894686,-0.006620242807203525,0.002449521272998023,0.11364591081521502,,36.234375,10.445946,14.08,0.32241002,0.184,0.35707,0.5
AVGO,Technology,0.4136,0.3911,0.0225,0.4286,0.2857,0.3571,0.4928,0.11275200345230192,-0.019666204967394907,0.16322521151991864,0.4909342379420838,,87.81025,5.782746,3.9,0.27083,0.164,0.31592,0.5
AMD,Technology,0.3115,0.2964,0.0151,0.2857,0.4286,0.0,0.4714,0.06628074718598775,0.05890679431816337,0.4818972863176352,1.1510371461888167,,129.9,6.609802,1.9,0.05317,0.356,0.10323,0.5
AMZN,Consumer Cyclical,0.2884,0.2715,0.0169,0.5714,0.2143,0.1429,0.1572,0.07602361243540846,0.10162415432578165,0.02929699616465742,0.13838765169046452,,33.10155,6.785497,7.09,0.24327,0.134,0.11063,0.5
