ticker,sector,score,base_score,dip_bonus,valuation,growth,profitability,quality,drawdown180,mom1,mom3,mom6,mom12,pe,pb,eps,returnOnEquity,revenueGrowth,profitMargins,eventScore
HOOD,Financial Services,0.7305,0.676,0.0545,0.2571,0.6429,0.9286,0.8754,0.29620885263939706,-0.24160152006244118,0.07481543640330224,0.698188575116274,,46.1625,11.621736,2.4,0.27816,1.0,0.52188,0.5
VRTX,Healthcare,0.5186,0.4633,0.0553,0.4143,0.5,0.5,0.4389,0.16933976632336373,0.015136695024182911,0.09625273336971163,-0.041720977464781206,,30.124912,6.277036,14.21,0.22307,0.11,0.31349,0.5
SOFI,Financial Services,0.3965,0.3589,0.0376,0.3286,0.2857,0.2143,0.6071,0.21794469884971657,-0.13100001017252605,0.04447117993053462,0.9572072291378726,,46.517857,3.5738783,0.56,0.085930005,0.378,0.19457,0.5
